Starting...
Gathering coverage... done in 272.996041ms
 NOT COVERED CONDITIONALS_NEGATION at adapters/file/source.go:35:9
 NOT COVERED CONDITIONALS_NEGATION at adapters/file/source.go:39:38
 NOT COVERED CONDITIONALS_NEGATION at adapters/file/source.go:39:52
 NOT COVERED INVERT_NEGATIVES at adapters/ui/autocomplete.go:15:16
 NOT COVERED ARITHMETIC_BASE at adapters/ui/autocomplete.go:15:16
 NOT COVERED CONDITIONALS_BOUNDARY at adapters/ui/autocomplete.go:18:14
 NOT COVERED CONDITIONALS_NEGATION at adapters/ui/autocomplete.go:18:14
 NOT COVERED CONDITIONALS_BOUNDARY at adapters/ui/autocomplete.go:21:19
 NOT COVERED CONDITIONALS_NEGATION at adapters/ui/autocomplete.go:21:19
 NOT COVERED CONDITIONALS_NEGATION at adapters/ui/autocomplete.go:26:16
 NOT COVERED INVERT_NEGATIVES at adapters/ui/autocomplete.go:26:19
 NOT COVERED ARITHMETIC_BASE at adapters/ui/autocomplete.go:26:19
 NOT COVERED ARITHMETIC_BASE at adapters/ui/autocomplete.go:31:39
 NOT COVERED CONDITIONALS_NEGATION at adapters/ui/autocomplete.go:43:12
 NOT COVERED CONDITIONALS_NEGATION at adapters/ui/autocomplete.go:65:16
 NOT COVERED INVERT_NEGATIVES at adapters/ui/autocomplete.go:65:19
 NOT COVERED ARITHMETIC_BASE at adapters/ui/autocomplete.go:65:19
 NOT COVERED ARITHMETIC_BASE at adapters/ui/autocomplete.go:70:34
 NOT COVERED ARITHMETIC_BASE at adapters/ui/autocomplete.go:71:31
 NOT COVERED ARITHMETIC_BASE at adapters/ui/autocomplete.go:71:16
 NOT COVERED ARITHMETIC_BASE at adapters/ui/colors.go:37:26
      KILLED CONDITIONALS_NEGATION at adapters/file/source.go:24:58
 NOT COVERED CONDITIONALS_NEGATION at adapters/ui/help.go:30:15
       LIVED CONDITIONALS_NEGATION at adapters/ui/colors.go:54:10
       LIVED CONDITIONALS_BOUNDARY at adapters/ui/help.go:41:9
       LIVED CONDITIONALS_NEGATION at adapters/ui/help.go:41:9
       LIVED INVERT_NEGATIVES at adapters/ui/help.go:41:21
       LIVED ARITHMETIC_BASE at adapters/ui/help.go:41:21
       LIVED CONDITIONALS_BOUNDARY at adapters/ui/help.go:47:8
       LIVED CONDITIONALS_NEGATION at adapters/ui/help.go:47:8
